date,symbol,F_mom121,F_er20,F_idiovol60,F_obv20,composite,rank
2025-01-16,EURL,,,,,0.5,8.0
2025-01-16,FAS,,,,,0.5,9.0
2025-01-16,KORU,,,,,0.5,10.0
2025-01-16,LABU,,,,,0.5,11.0
2025-01-16,MEXX,,,,,0.5,12.0
2025-01-16,RETL,,,,,0.5,13.0
2025-01-16,SOXL,,,,,0.5,14.0
2025-01-16,TECL,,,,,0.5,15.0
2025-01-16,TMF,,,,,0.5,16.0
2025-01-16,TNA,,,,,0.5,17.0
2025-01-16,TQQQ,,,,,0.5,18.0
2025-01-16,TYD,,,,,0.5,19.0
2025-01-16,UCO,,,,,0.5,20.0
2025-01-16,UDOW,,,,,0.5,21.0
2025-01-16,UGL,,,,,0.5,22.0
2025-01-16,UPRO,,,,,0.5,23.0
2025-01-16,UTSL,,,,,0.5,24.0
2025-01-16,UUP,,,,,0.5,25.0
2025-01-16,UVXY,,,,,0.5,26.0
2025-01-16,UYM,,,,,0.5,27.0
2025-01-16,YINN,,,,,0.5,28.0
2025-01-17,AGQ,,,,,0.5,1.0
2025-01-17,BOIL,,,,,0.5,2.0
2025-01-17,CHAU,,,,,0.5,3.0
2025-01-17,DRN,,,,,0.5,4.0
2025-01-17,DUSL,,,,,0.5,5.0
2025-01-17,EDC,,,,,0.5,6.0
2025-01-17,ERX,,,,,0.5,7.0
2025-01-17,EURL,,,,,0.5,8.0
2025-01-17,FAS,,,,,0.5,9.0
2025-01-17,KORU,,,,,0.5,10.0
2025-01-17,LABU,,,,,0.5,11.0
2025-01-17,MEXX,,,,,0.5,12.0
2025-01-17,RETL,,,,,0.5,13.0
2025-01-17,SOXL,,,,,0.5,14.0
2025-01-17,TECL,,,,,0.5,15.0
2025-01-17,TMF,,,,,0.5,16.0
2025-01-17,TNA,,,,,0.5,17.0
2025-01-17,TQQQ,,,,,0.5,18.0
2025-01-17,TYD,,,,,0.5,19.0
2025-01-17,UCO,,,,,0.5,20.0
2025-01-17,UDOW,,,,,0.5,21.0
2025-01-17,UGL,,,,,0.5,22.0
2025-01-17,UPRO,,,,,0.5,23.0
2025-01-17,UTSL,,,,,0.5,24.0
2025-01-17,UUP,,,,,0.5,25.0
2025-01-17,UVXY,,,,,0.5,26.0
2025-01-17,UYM,,,,,0.5,27.0
2025-01-17,YINN,,,,,0.5,28.0
2025-01-21,AGQ,,,,,0.5,1.0
2025-01-21,BOIL,,,,,0.5,2.0
2025-01-21,CHAU,,,,,0.5,3.0
2025-01-21,DRN,,,,,0.5,4.0
2025-01-21,DUSL,,,,,0.5,5.0
2025-01-21,EDC,,,,,0.5,6.0
2025-01-21,ERX,,,,,0.5,7.0
2025-01-21,EURL,,,,,0.5,8.0
2025-01-21,FAS,,,,,0.5,9.0
2025-01-21,KORU,,,,,0.5,10.0
2025-01-21,LABU,,,,,0.5,11.0
2025-01-21,MEXX,,,,,0.5,12.0
2025-01-21,RETL,,,,,0.5,13.0
2025-01-21,SOXL,,,,,0.5,14.0
2025-01-21,TECL,,,,,0.5,15.0
2025-01-21,TMF,,,,,0.5,16.0
2025-01-21,TNA,,,,,0.5,17.0
2025-01-21,TQQQ,,,,,0.5,18.0
2025-01-21,TYD,,,,,0.5,19.0
2025-01-21,UCO,,,,,0.5,20.0
2025-01-21,UDOW,,,,,0.5,21.0
2025-01-21,UGL,,,,,0.5,22.0
2025-01-21,UPRO,,,,,0.5,23.0
2025-01-21,UTSL,,,,,0.5,24.0
2025-01-21,UUP,,,,,0.5,25.0
2025-01-21,UVXY,,,,,0.5,26.0
2025-01-21,UYM,,,,,0.5,27.0
2025-01-21,YINN,,,,,0.5,28.0
2025-01-22,AGQ,,,,,0.5,1.0
2025-01-22,BOIL,,,,,0.5,2.0
2025-01-22,CHAU,,,,,0.5,3.0
2025-01-22,DRN,,,,,0.5,4.0
2025-01-22,DUSL,,,,,0.5,5.0
2025-01-22,EDC,,,,,0.5,6.0
2025-01-22,ERX,,,,,0.5,7.0
2025-01-22,EURL,,,,,0.5,8.0
2025-01-22,FAS,,,,,0.5,9.0
2025-01-22,KORU,,,,,0.5,10.0
2025-01-22,LABU,,,,,0.5,11.0
2025-01-22,MEXX,,,,,0.5,12.0
2025-01-22,RETL,,,,,0.5,13.0
2025-01-22,SOXL,,,,,0.5,14.0
2025-01-22,TECL,,,,,0.5,15.0
2025-01-22,TMF,,,,,0.5,16.0
2025-01-22,TNA,,,,,0.5,17.0
2025-01-22,TQQQ,,,,,0.5,18.0
2025-01-22,TYD,,,,,0.5,19.0
2025-01-22,UCO,,,,,0.5,20.0
2025-01-22,UDOW,,,,,0.5,21.0
2025-01-22,UGL,,,,,0.5,22.0
2025-01-22,UPRO,,,,,0.5,23.0
2025-01-22,UTSL,,,,,0.5,24.0
2025-01-22,UUP,,,,,0.5,25.0
2025-01-22,UVXY,,,,,0.5,26.0
2025-01-22,UYM,,,,,0.5,27.0
2025-01-22,YINN,,,,,0.5,28.0
2025-01-23,AGQ,,,,,0.5,1.0
2025-01-23,BOIL,,,,,0.5,2.0
2025-01-23,CHAU,,,,,0.5,3.0
2025-01-23,DRN,,,,,0.5,4.0
2025-01-23,DUSL,,,,,0.5,5.0
2025-01-23,EDC,,,,,0.5,6.0
2025-01-23,ERX,,,,,0.5,7.0
2025-01-23,EURL,,,,,0.5,8.0
2025-01-23,FAS,,,,,0.5,9.0
2025-01-23,KORU,,,,,0.5,10.0
2025-01-23,LABU,,,,,0.5,11.0
2025-01-23,MEXX,,,,,0.5,12.0
2025-01-23,RETL,,,,,0.5,13.0
2025-01-23,SOXL,,,,,0.5,14.0
2025-01-23,TECL,,,,,0.5,15.0
2025-01-23,TMF,,,,,0.5,16.0
2025-01-23,TNA,,,,,0.5,17.0
2025-01-23,TQQQ,,,,,0.5,18.0
2025-01-23,TYD,,,,,0.5,19.0
2025-01-23,UCO,,,,,0.5,20.0
2025-01-23,UDOW,,,,,0.5,21.0
2025-01-23,UGL,,,,,0.5,22.0
2025-01-23,UPRO,,,,,0.5,23.0
2025-01-23,UTSL,,,,,0.5,24.0
2025-01-23,UUP,,,,,0.5,25.0
2025-01-23,UVXY,,,,,0.5,26.0
2025-01-23,UYM,,,,,0.5,27.0
2025-01-23,YINN,,,,,0.5,28.0
2025-01-24,AGQ,,,,,0.5,1.0
2025-01-24,BOIL,,,,,0.5,2.0
2025-01-24,CHAU,,,,,0.5,3.0
2025-01-24,DRN,,,,,0.5,4.0
2025-01-24,DUSL,,,,,0.5,5.0
2025-01-24,EDC,,,,,0.5,6.0
2025-01-24,ERX,,,,,0.5,7.0
2025-01-24,EURL,,,,,0.5,8.0
2025-01-24,FAS,,,,,0.5,9.0
2025-01-24,KORU,,,,,0.5,10.0
2025-01-24,LABU,,,,,0.5,11.0
2025-01-24,MEXX,,,,,0.5,12.0
2025-01-24,RETL,,,,,0.5,13.0
2025-01-24,SOXL,,,,,0.5,14.0
2025-01-24,TECL,,,,,0.5,15.0
2025-01-24,TMF,,,,,0.5,16.0
2025-01-24,TNA,,,,,0.5,17.0
2025-01-24,TQQQ,,,,,0.5,18.0
2025-01-24,TYD,,,,,0.5,19.0
2025-01-24,UCO,,,,,0.5,20.0
2025-01-24,UDOW,,,,,0.5,21.0
2025-01-24,UGL,,,,,0.5,22.0
2025-01-24,UPRO,,,,,0.5,23.0
2025-01-24,UTSL,,,,,0.5,24.0
2025-01-24,UUP,,,,,0.5,25.0
2025-01-24,UVXY,,,,,0.5,26.0
2025-01-24,UYM,,,,,0.5,27.0
2025-01-24,YINN,,,,,0.5,28.0
2025-01-27,AGQ,,,,,0.5,1.0
2025-01-27,BOIL,,,,,0.5,2.0
2025-01-27,CHAU,,,,,0.5,3.0
2025-01-27,DRN,,,,,0.5,4.0
2025-01-27,DUSL,,,,,0.5,5.0
2025-01-27,EDC,,,,,0.5,6.0
2025-01-27,ERX,,,,,0.5,7.0
2025-01-27,EURL,,,,,0.5,8.0
2025-01-27,FAS,,,,,0.5,9.0
2025-01-27,KORU,,,,,0.5,10.0
2025-01-27,LABU,,,,,0.5,11.0
2025-01-27,MEXX,,,,,0.5,12.0
2025-01-27,RETL,,,,,0.5,13.0
2025-01-27,SOXL,,,,,0.5,14.0
2025-01-27,TECL,,,,,0.5,15.0
2025-01-27,TMF,,,,,0.5,16.0
2025-01-27,TNA,,,,,0.5,17.0
2025-01-27,TQQQ,,,,,0.5,18.0
2025-01-27,TYD,,,,,0.5,19.0
2025-01-27,UCO,,,,,0.5,20.0
2025-01-27,UDOW,,,,,0.5,21.0
2025-01-27,UGL,,,,,0.5,22.0
2025-01-27,UPRO,,,,,0.5,23.0
2025-01-27,UTSL,,,,,0.5,24.0
2025-01-27,UUP,,,,,0.5,25.0
2025-01-27,UVXY,,,,,0.5,26.0
2025-01-27,UYM,,,,,0.5,27.0
2025-01-27,YINN,,,,,0.5,28.0
2025-01-28,AGQ,,,,,0.5,1.0
2025-01-28,BOIL,,,,,0.5,2.0
2025-01-28,CHAU,,,,,0.5,3.0
2025-01-28,DRN,,,,,0.5,4.0
2025-01-28,DUSL,,,,,0.5,5.0
2025-01-28,EDC,,,,,0.5,6.0
2025-01-28,ERX,,,,,0.5,7.0
2025-01-28,EURL,,,,,0.5,8.0
2025-01-28,FAS,,,,,0.5,9.0
2025-01-28,KORU,,,,,0.5,10.0
2025-01-28,LABU,,,,,0.5,11.0
2025-01-28,MEXX,,,,,0.5,12.0
2025-01-28,RETL,,,,,0.5,13.0
2025-01-28,SOXL,,,,,0.5,14.0
2025-01-28,TECL,,,,,0.5,15.0
2025-01-28,TMF,,,,,0.5,16.0
2025-01-28,TNA,,,,,0.5,17.0
2025-01-28,TQQQ,,,,,0.5,18.0
2025-01-28,TYD,,,,,0.5,19.0
2025-01-28,UCO,,,,,0.5,20.0
2025-01-28,UDOW,,,,,0.5,21.0
2025-01-28,UGL,,,,,0.5,22.0
2025-01-28,UPRO,,,,,0.5,23.0
2025-01-28,UTSL,,,,,0.5,24.0
2025-01-28,UUP,,,,,0.5,25.0
2025-01-28,UVXY,,,,,0.5,26.0
2025-01-28,UYM,,,,,0.5,27.0
2025-01-28,YINN,,,,,0.5,28.0
2025-01-29,AGQ,,,,,0.5,1.0
2025-01-29,BOIL,,,,,0.5,2.0
2025-01-29,CHAU,,,,,0.5,3.0
2025-01-29,DRN,,,,,0.5,4.0
2025-01-29,DUSL,,,,,0.5,5.0
2025-01-29,EDC,,,,,0.5,6.0
2025-01-29,ERX,,,,,0.5,7.0
2025-01-29,EURL,,,,,0.5,8.0
2025-01-29,FAS,,,,,0.5,9.0
2025-01-29,KORU,,,,,0.5,10.0
2025-01-29,LABU,,,,,0.5,11.0
2025-01-29,MEXX,,,,,0.5,12.0
2025-01-29,RETL,,,,,0.5,13.0
2025-01-29,SOXL,,,,,0.5,14.0
2025-01-29,TECL,,,,,0.5,15.0
2025-01-29,TMF,,,,,0.5,16.0
2025-01-29,TNA,,,,,0.5,17.0
2025-01-29,TQQQ,,,,,0.5,18.0
2025-01-29,TYD,,,,,0.5,19.0
2025-01-29,UCO,,,,,0.5,20.0
2025-01-29,UDOW,,,,,0.5,21.0
2025-01-29,UGL,,,,,0.5,22.0
2025-01-29,UPRO,,,,,0.5,23.0
2025-01-29,UTSL,,,,,0.5,24.0
2025-01-29,UUP,,,,,0.5,25.0
2025-01-29,UVXY,,,,,0.5,26.0
2025-01-29,UYM,,,,,0.5,27.0
2025-01-29,YINN,,,,,0.5,28.0
2025-01-30,AGQ,,,,,0.5,1.0
2025-01-30,BOIL,,,,,0.5,2.0
2025-01-30,CHAU,,,,,0.5,3.0
2025-01-30,DRN,,,,,0.5,4.0
2025-01-30,DUSL,,,,,0.5,5.0
2025-01-30,EDC,,,,,0.5,6.0
2025-01-30,ERX,,,,,0.5,7.0
2025-01-30,EURL,,,,,0.5,8.0
2025-01-30,FAS,,,,,0.5,9.0
2025-01-30,KORU,,,,,0.5,10.0
2025-01-30,LABU,,,,,0.5,11.0
2025-01-30,MEXX,,,,,0.5,12.0
2025-01-30,RETL,,,,,0.5,13.0
2025-01-30,SOXL,,,,,0.5,14.0
2025-01-30,TECL,,,,,0.5,15.0
2025-01-30,TMF,,,,,0.5,16.0
2025-01-30,TNA,,,,,0.5,17.0
2025-01-30,TQQQ,,,,,0.5,18.0
2025-01-30,TYD,,,,,0.5,19.0
2025-01-30,UCO,,,,,0.5,20.0
2025-01-30,UDOW,,,,,0.5,21.0
2025-01-30,UGL,,,,,0.5,22.0
2025-01-30,UPRO,,,,,0.5,23.0
2025-01-30,UTSL,,,,,0.5,24.0
2025-01-30,UUP,,,,,0.5,25.0
2025-01-30,UVXY,,,,,0.5,26.0
2025-01-30,UYM,,,,,0.5,27.0
2025-01-30,YINN,,,,,0.5,28.0
