"代码","名称","最新价","涨跌额","涨跌幅","市值","成交量","成交额","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅","市盈率(静)","换手率","涨跌速率","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今","所属行业"
"RLAY","Relay Therapeutics","18.840","-0.350","-1.82%","4128628328.04","10076060","190382216.00","18.500","19.300","700","200","19.250","19.190","19.400","18.680","3.46","55.56%","3.75%","亏损","6.93%","-0.88%","+0.61%","-0.16%","-0.89%","-4.37%","+4.55%","+96.25%","+304.29%","+122.70%","生物技术"
"TCBI","Texas Capital Bancshares","94.900","+0.420","+0.44%","4125717618.10","1043005","98937879.00","93.870","152.350","100","200","94.230","94.480","95.410","93.875","1.98","-33.33%","1.62%","13.976","2.60%","0.00%","-0.40%","-4.23%","-2.98%","-3.00%","-7.74%","+2.82%","+9.55%","+5.24%","地区银行"
"MTH","Meritage Homes","63.250","-1.370","-2.12%","4122261382.25","2560160","161884365.00","59.580","84.280","100","200","63.800","64.620","64.255","62.830","2.80","-33.33%","2.21%","9.960","4.03%","-0.41%","+0.09%","-0.78%","-5.56%","-10.31%","-22.66%","+6.91%","-13.80%","-1.78%","住宅施工"
"AQN","Algonquin Power & Utilities","5.350","-0.030","-0.56%","4118975138.25","5211613","27873882.00","5.240","5.690","100","5500","5.340","5.380","5.395","5.322","0.80","-96.43%","1.36%","24.318","0.84%","0.09%","0.00%","+0.75%","-4.46%","-8.08%","-8.59%","-9.21%","+5.36%","-9.21%","多元化公用事业"
"INDV","Indivior","34.880","-0.810","-2.27%","4116953857.92","4684180","163399387.00","34.030","35.840","200","300","35.590","35.690","35.615","34.590","1.88","-20.00%","2.87%","21.268","4.04%","-0.11%","-0.14%","+1.13%","+0.14%","-7.68%","-15.89%","+20.40%","+54.95%","-2.79%","专业与通用药品制造商"
"COLD","Americold Realty Trust","14.410","-0.450","-3.03%","4113774739.91","7322519","105734508.00","14.260","15.000","300","100","14.760","14.860","14.900","14.370","1.66","50.00%","3.57%","亏损","2.57%","0.38%","-0.07%","-1.44%","+2.13%","-4.06%","+3.39%","+36.36%","+20.53%","+16.00%","工业REITs"
"SKT","Tanger","35.800","+0.050","+0.14%","4112667806.20","1870242","66927510.00","35.330","36.490","300","100","36.040","35.750","36.040","35.500","2.21","50.00%","1.51%","36.161","1.67%","-0.06%","-0.03%","-1.57%","-3.63%","-6.36%","-11.01%","+7.84%","+10.88%","+10.01%","零售REITs"
"GEF.B","格瑞夫-B","108.240","-1.190","-1.09%","4102163189.52","80043","8622585.00","50.000","111.750","300","100","108.270","109.430","109.030","105.640","0.67","50.00%","3.10%","4.845","0.42%","0.46%","+0.19%","+3.81%","+1.46%","-0.74%","+22.42%","+30.06%","+81.28%","+49.28%","包装与容器"
"AYA","Aya Gold & Silver","28.460","-0.360","-1.25%","4099269341.28","4578060","130435930.00","28.000","28.750","200","1000","29.230","28.820","29.370","27.893","2.58","-66.67%","5.13%","88.937","3.19%","-0.18%","+0.32%","+1.75%","-4.56%","+5.72%","+66.24%","+116.43%","+143.25%","+98.07%","白银"
"ABCL","AbCellera Biologics","12.630","-0.100","-0.79%","4092718194.69","5438252","68412764.00","12.650","12.700","500","900","12.730","12.730","12.960","12.370","1.08","-28.57%","4.63%","亏损","2.46%","-0.55%","+0.80%","+15.98%","+9.16%","+9.16%","+109.45%","+286.24%","+180.04%","+269.30%","生物技术"
"SEB","Seaboard","4272.340","+23.380","+0.55%","4092021617.96","13298","57239330.00","3850.000","4910.000","10","10","4248.500","4248.960","4371.010","4212.500","1.08","0.00%","3.73%","8.304","5.50%","0.22%","+0.14%","-0.55%","-0.57%","-1.93%","-10.52%","-23.00%","+22.31%","-3.74%","综合企业"
"HP","赫尔默里奇和佩恩材料","40.910","-0.550","-1.33%","4088502239.95","2658412","108949547.00","40.640","45.000","100","300","41.360","41.460","41.515","40.900","2.56","-50.00%","1.48%","亏损","2.77%","-0.07%","-0.49%","-7.11%","-9.13%","-7.23%","+25.58%","+14.53%","+104.97%","+45.46%","油气钻探"
"NP","Neptune Insurance","29.790","-0.420","-1.39%","4088173751.10","980829","29228206.00","28.460","0.000","100","0","30.250","30.210","30.880","29.490","2.27","100.00%","4.60%","亏损","2.42%","0.24%","+0.61%","-5.73%","-10.81%","-8.51%","+2.76%","+29.35%","+48.95%","+2.16%","保险经纪"
